Table: Total Coal Consumption (Quadrillion Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Latvia,,--,--,--,--,--,--,--,--,--,--,--,--,0.01592,0.01687,0.01195,0.0072,0.0065,0.0052,0.00392,0.00355,0.00278,0.00355,0.00288,0.00276,0.00263,0.00327,0.00351,0.00428,0.00431,0.00255,0.00307,0.00345,0.00526
Lithuania,,--,--,--,--,--,--,--,--,--,--,--,--,0.02149,0.02145,0.01625,0.01033,0.00601,0.00681,0.0059,0.00479,0.00364,0.00328,0.00565,0.00718,0.007,0.00767,0.01064,0.0102,0.00859,0.00633,0.00798,0.00884,0.00844
Moldova,,--,--,--,--,--,--,--,--,--,--,--,--,0.07509,0.05064,0.05076,0.03019,0.02593,0.01461,0.01235,0.00518,0.00411,0.00335,0.00357,0.00522,0.00418,0.00376,0.00424,0.00242,0.00366,0.00335,0.00354,0.00366,0.00287
Russia,,--,--,--,--,--,--,--,--,--,--,--,--,5.2027,4.81221,4.45534,4.25118,4.53978,3.91511,3.68887,4.51652,4.5882,4.19332,4.42757,4.45891,4.32674,4.29174,4.43211,4.24634,4.57448,3.7135,4.49948,4.51194,5.10096
Tajikistan,,--,--,--,--,--,--,--,--,--,--,--,--,0.01285,0.00252,0.0015,0.0006,0.00035,0.00086,0.00066,0.00047,0.00059,0.00063,0.00085,0.00108,0.00191,0.002,0.00211,0.00352,0.00385,0.00396,0.00394,0.00461,0.00394
Turkmenistan,,--,--,--,--,--,--,--,--,--,--,--,--,0.01433,0.01292,0.01292,0.00646,0.00194,0.00102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,,--,--,--,--,--,--,--,--,--,--,--,--,2.39022,2.0759,1.66523,1.96694,1.54563,1.41541,1.43976,1.41326,1.42678,1.38057,1.39407,1.54134,1.39344,1.42282,1.5421,1.56965,1.47482,1.24773,1.39391,1.43784,1.57203
Uzbekistan,,--,--,--,--,--,--,--,--,--,--,--,--,0.08615,0.06304,0.06429,0.04973,0.04668,0.04101,0.04285,0.04253,0.05106,0.05232,0.05225,0.04022,0.04748,0.04571,0.04913,0.05212,0.05207,0.05606,0.05437,0.05718,0.06065
Middle East,,0.02776,0.03203,0.05907,0.07748,0.11083,0.11908,0.12848,0.13479,0.13353,0.14104,0.1394,0.15293,0.1559,0.22432,0.24963,0.23426,0.26914,0.27949,0.29739,0.29328,0.33698,0.35213,0.3825,0.39424,0.39917,0.39173,0.41994,0.42575,0.42053,0.38383,0.41405,0.4417,0.53429
Bahrain,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,,0.02743,0.02165,0.03388,0.03107,0.03706,0.03855,0.04001,0.04054,0.04112,0.04121,0.0371,0.04126,0.0431,0.03835,0.05255,0.04661,0.04877,0.04853,0.04953,0.05087,0.05498,0.04601,0.0476,0.05358,0.05239,0.06375,0.06367,0.06765,0.06303,0.04622,0.05681,0.05448,0.06375
Iraq,,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00005,0.00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,,0.00003,0.00995,0.02481,0.04616,0.07361,0.08045,0.08842,0.09419,0.09235,0.0998,0.10224,0.11158,0.11275,0.18275,0.19384,0.18247,0.21471,0.22544,0.24258,0.23677,0.27631,0.29968,0.32529,0.33044,0.33591,0.31632,0.33895,0.34684,0.3376,0.30909,0.32117,0.32824,0.39135
Jordan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,,0.00017,0.00017,0.00008,0,0,0,0,0,0,0,0,0,0,0.00316,0.00319,0.00513,0.00552,0.00523,0.00509,0.00551,0.00551,0.00551,0.00551,0.00551,0.00551,0.00551,0.00551,0.00551,0.00551,0.00551,0.0062,0.00688,0.00862
Oman,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territories,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00018,0.00005,0.00003,0.00008,0.00005,0.0001,0,0.00003,0,0,0,0,0,0,0,0
Qatar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,,0.00011,0.00024,0.00027,0.00022,0.00014,0.00005,0.00003,0.00003,0.00003,0,0,0.00005,0.00005,0.00006,0.00006,0.00005,0.00014,0.00011,0.00014,0.00011,0.00011,0.00011,0.00008,0.00011,0.00011,0.00011,0.00011,0.00011,0.00011,0.00011,0.00011,0.00011,0.00011
United Arab Emirates,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00077,0.00392,0.00461,0.00523,0.00605,0.01171,0.00564,0.01427,0.02291,0.02977,0.05199,0.07046
Yemen,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,,2.25784,2.46755,2.63634,2.69549,2.88913,2.96902,3.06512,3.18593,3.2431,3.00512,2.97715,3.08697,3.15111,3.12062,3.40533,3.39422,3.44049,3.76416,3.54706,3.63963,3.76911,3.85416,3.68838,3.99456,4.29714,4.16525,4.23574,4.35704,4.70161,4.5644,4.50944,4.41703,4.41941
Algeria,,0.01703,0.02021,0.02181,0.03244,0.03908,0.02742,0.03002,0.02824,0.03144,0.034,0.03118,0.03294,0.02954,0.02705,0.02381,0.02955,0.01813,0.00925,0.02124,0.02211,0.02001,0.02131,0.02419,0.02611,0.02758,0.02632,0.02511,0.02914,0.02911,0.01645,0.01378,0.01189,0.01186
Angola,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,,0.009,0.00922,0.01004,0.00941,0.00953,0.0106,0.01211,0.01405,0.01486,0.01647,0.01984,0.01945,0.02208,0.02183,0.0221,0.02534,0.02093,0.02042,0.02616,0.0266,0.02665,0.02444,0.02506,0.02175,0.02388,0.02567,0.02509,0.0216,0.02342,0.01901,0.02542,0.02029,0.01906
Burkina Faso,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,,0,0.00003,0.00003,0.00003,0.00003,0.00005,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00003,0.00003,0.00003,0.00003,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Kinshasa),,0.00688,0.0071,0.0067,0.00644,0.00653,0.0066,0.00683,0.00694,0.00773,0.00679,0.00597,0.00622,0.00632,0.00668,0.00679,0.00766,0.00684,0.00644,0.00652,0.00652,0.00605,0.00592,0.0061,0.00646,0.00688,0.00743,0.00784,0.00833,0.00885,0.00909,0.00974,0.01039,0.01024
Cote dIvoire (IvoryCoast),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,,0.02266,0.03587,0.03998,0.02818,0.03159,0.03451,0.03598,0.03771,0.04028,0.04173,0.03572,0.03378,0.02975,0.03559,0.03752,0.02566,0.0394,0.03137,0.03077,0.02803,0.03445,0.02938,0.03223,0.03341,0.03416,0.03341,0.03601,0.03709,0.03694,0.03305,0.03983,0.0387,0.04154
Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia, The",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00008,0.00008,0.00008,0.00008,0.00008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,,0.00048,0.00259,0.00134,0.00094,0.00239,0.00259,0.00244,0.00262,0.00324,0.00375,0.00432,0.00378,0.00452,0.00426,0.004,0.00436,0.0039,0.00379,0.00308,0.00297,0.00274,0.00274,0.0041,0.00384,0.00448,0.00372,0.00497,0.00456,0.00454,0.00395,0.00687,0.00974,0.0123
Lesotho,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00005,0.00005,0.00005,0.00011,0.00013,0.00013,0.00013,0.00013,0.00016,0.00014,0.00013,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,,0.00026,0.00032,0.00032,0.00029,0.00019,0.00011,0.00029,0.00032,0.00032,0.00034,0.00034,0.00034,0.00034,0.00045,0.00039,0.00027,0.00027,0.00031,0.00031,0.0002,0.00026,0.00026,0.00026,0.00026,0.00026,0.00044,0.00039,0.00026,0.00034,0.00037,0.00038,0.00038,0.00038
Malawi,,0.00172,0.00127,0.00161,0.00116,0.00108,0.00087,0.00074,0.00074,0.00042,0.00029,0.00048,0.00029,0.00032,0.00048,0.00055,0.00047,0.00046,0.00046,0.00035,0.00141,0.00159,0.0012,0.00174,0.00164,0.00156,0.00152,0.00151,0.00157,0.00132,0.00123,0.00138,0.00138,0.00138
Mali,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,,0.00016,0.00016,0.00019,0.00019,0.00019,0.00019,0.00013,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00019,0.00019,0.00011,0.00008,0.00005,0.00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,,0.00003,0.00005,0.00003,0.00037,0.00063,0.00095,0.00122,0.00101,0.00108,0.00198,0.00198,0.00175,0.00151,0.00204,0.00113,0.00154,0.0011,0.00115,0.00182,0.00348,0.00649,0.00765,0.00802,0.00811,0.0074,0.00933,0.01243,0.01468,0.01671,0.01527,0.01712,0.01694,0.01694
Morocco,,0.03701,0.03871,0.04201,0.04738,0.04533,0.04662,0.06446,0.06655,0.06518,0.06537,0.06502,0.07399,0.0567,0.07938,0.08739,0.09174,0.10876,0.09615,0.10314,0.09981,0.11131,0.14043,0.14336,0.13447,0.128,0.13574,0.13538,0.13801,0.1227,0.11272,0.11642,0.12295,0.12586
Mozambique,,0.00795,0.00813,0.0067,0.00503,0.00347,0.00294,0.00281,0.00172,0.00177,0.00175,0.00158,0.00169,0.00164,0.00164,0.00164,0.00156,0,0,0,0,0,0,0,0,0,0,0,0.00022,0.00025,0.00025,0.00025,0.00065,0.00182
Namibia,,--,--,--,--,--,--,--,0,0,0,0,0.00034,0.00027,0.00203,0.00226,0.00036,0.00032,0.00025,0.00038,0.00014,0.00007,0.00009,0,0.00018,0.00002,0.00045,0.00145,0.00174,0.00239,0.00111,0.00079,0.00029,0.00027
Niger,,0.00056,0.00083,0.00125,0.00361,0.00417,0.00419,0.00344,0.00456,0.00431,0.00475,0.00478,0.00478,0.00472,0.00478,0.00478,0.00481,0.00465,0.00446,0.00446,0.00448,0.00405,0.00418,0.00469,0.00484,0.00594,0.00481,0.00435,0.00466,0.00461,0.00486,0.00609,0.0061,0.0061
Nigeria,,0.00484,0.00323,0.00164,0.00156,0.00204,0.00377,0.00301,0.00291,0.00164,0.00148,0.0017,0.00185,0.00256,0.00099,0.00088,0.00073,0.00041,0.00045,0.0005,0.00055,0.00021,0.00008,0.0011,0.00059,0.0002,0.0002,0.0002,0.00059,0.00084,0.00087,0.00097,0.00082,0.00082
Reunion,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00325,0.00389,0.00428,0.00551,0.00551,0.00651,0.00676,0.00694,0.01033
Seychelles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,,2.05903,2.25738,2.41421,2.47624,2.65552,2.72633,2.78271,2.86721,2.92394,2.67836,2.64528,2.73671,2.81394,2.77878,3.06829,3.06518,3.10497,3.46764,3.23009,3.30967,3.43191,3.49636,3.32317,3.65231,3.95802,3.81253,3.88247,3.99819,4.37439,4.26688,4.18374,4.08268,4.07755
Sudan and South Sudan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,,0.00454,0.00423,0.00423,0.00263,0.00322,0.00428,0.00444,0.00426,0.00426,0.00426,0.00412,0.00317,0.00259,0.00128,0.0047,0.00441,0.00348,0.00545,0.00545,0.00565,0.00515,0.00525,0.00472,0.0042,0.00408,0.00271,0.00396,0.00412,0.00424,0.00329,0.00323,0.00323,0.00323
Tanzania,,0.00005,0.00005,0.00005,0.00011,0.00008,0.00011,0.00011,0.00008,0.00008,0.00008,0.00011,0.00011,0.00011,0.00118,0.00124,0.00122,0.00146,0.00072,0.00115,0.00192,0.00202,0.002,0.00202,0.00141,0.00167,0.00079,0.00046,0.00069,0.00038,0.00064,0.0012,0.00115,0.00246
Togo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,,0.0024,0.00276,0.00193,0.00281,0.00288,0.00275,0.00251,0.00281,0.00335,0.00333,0.00298,0.00308,0.00314,0.00351,0.00323,0.00248,0.00307,0.00292,0.00236,0.00336,0.00317,0.0029,0.00246,0.0007,0,0,0,0,0,0,0,0,0
Uganda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,,0.01539,0.01312,0.01563,0.01171,0.01312,0.01279,0.01399,0.01182,0.01326,0.01047,0.00806,0.00832,0.01095,0.00895,0.00392,0.00334,0.0059,0.00782,0.00506,0.00307,0.00315,0.00327,0.00337,0.00356,0.00266,0.00344,0.00143,0.00034,0.00002,0.00002,0,0,0
Zimbabwe,,0.06777,0.06222,0.06656,0.06489,0.06797,0.08127,0.09775,0.1321,0.12562,0.12958,0.1433,0.154,0.15973,0.13929,0.13026,0.12319,0.11612,0.10483,0.10418,0.11962,0.10979,0.1067,0.10179,0.09072,0.08709,0.09285,0.08841,0.08571,0.06504,0.06883,0.07547,0.08251,0.07727
Asia & Oceania,,19.69262,20.42132,21.43582,22.57815,25.15083,26.8869,27.94732,29.41032,31.54323,31.83822,32.18917,33.42674,34.24583,35.61561,37.9196,40.01625,41.16771,40.65913,40.9246,41.96132,45.06845,46.62664,48.34765,54.4262,61.73757,67.33812,72.82492,77.3764,80.40739,86.95639,93.44628,100.40447,99.81737
Afghanistan,,0.00289,0.00303,0.00352,0.00352,0.00359,0.00366,0.00388,0.00405,0.00335,0.00308,0.00255,0.00228,0.00019,0.00017,0.00015,0.00012,0.00007,0.00005,0.00005,0.00003,0.00003,0.00067,0.00054,0.0009,0.00087,0.00085,0.0009,0.00623,0.00889,0.01281,0.01858,0.01858,0.01922
American Samoa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,,1.05036,1.12029,1.06722,1.18805,1.35013,1.33665,1.25793,1.40854,1.2987,1.41536,1.43484,1.48925,1.5609,1.56946,1.49433,1.519,1.64679,1.94104,1.9414,2.0763,2.0692,2.19257,2.19573,2.1782,2.27794,2.37428,2.41359,2.43683,2.42591,2.49519,2.34545,2.23966,2.27888
Bangladesh,,0.00658,0.00689,0.00837,0.00456,0.00174,0.00274,0.00414,0.00652,0.00566,0.007,0.01577,0.00504,0.00455,0.00125,0.00117,0.01274,0.00733,0.01345,0.00387,0.00192,0.01374,0.01458,0.01522,0.01601,0.01701,0.01799,0.01907,0.02809,0.02618,0.02695,0.03113,0.03798,0.04165
Bhutan,,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00003,0.00052,0.00055,0.00052,0.00052,0.00052,0.00054,0.00052,0.00121,0.00144,0.00159,0.00159,0.0015,0.00169,0.00169,0.0014,0.00163,0.00107,0.00024,0.00095,0.00083,0.00077,0.00109,0.00055,0.00074,0.00085,0.00085
Brunei,,0.00005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burma (Myanmar),,0.00156,0.00204,0.00274,0.00241,0.00264,0.00289,0.00222,0.00144,0.0012,0.00158,0.00155,0.00166,0.00164,0.00147,0.00137,0.00156,0.00121,0.00114,0.00117,0.00348,0.01293,0.01493,0.01194,0.021,0.0107,0.0135,0.01686,0.01832,0.01581,0.01464,0.01689,0.01694,0.02932
Cambodia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00079,0.00087,0.0011,0.00146
China,,12.29852,12.33199,13.16449,13.91882,15.30052,16.47763,17.44132,18.64373,19.92475,20.11008,20.24839,20.98045,21.70992,22.39187,24.195,24.86358,26.43969,24.94796,24.96529,24.80693,26.59532,27.04768,28.60026,34.05163,39.33549,44.29384,48.5957,51.56139,53.80544,59.34414,64.49721,70.81321,69.72
Cook Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,,0.00048,0.00041,0.00052,0.00041,0.0005,0.00036,0.00034,0.00011,0.00018,0.00036,0.00054,0.00041,0.00045,0.00065,0.00065,0.00056,0.00059,0.00056,0.00051,0.00046,0.00044,0.00038,0.00042,0.00042,0.00001,0,0,0,0,0,0,0,0
French Polynesia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,,0.0007,0.00302,0.04025,0.08716,0.10859,0.1391,0.15335,0.19675,0.23825,0.25651,0.22938,0.20857,0.2349,0.25679,0.18502,0.19898,0.20103,0.16431,0.19995,0.1638,0.15524,0.20583,0.22331,0.27324,0.27395,0.27737,0.29202,0.31418,0.2907,0.31598,0.26454,0.32103,0.31647
India,,2.09389,2.44828,2.55168,2.68204,3.18575,3.31271,3.54507,3.56615,3.74626,4.0018,4.17086,4.55233,4.85209,5.15551,5.49374,6.71409,5.88494,6.18073,6.38701,6.90317,7.15855,7.43931,7.08891,7.27268,8.149,8.60886,9.23323,10.0616,10.6118,11.89389,12.10941,12.46006,12.89139
Indonesia,,0.0156,0.01916,0.01552,0.01711,0.02986,0.03974,0.08986,0.09818,0.11339,0.15426,0.17054,0.1534,0.17824,0.28089,0.33778,0.28944,0.39248,0.34333,0.41019,0.4996,0.53722,0.69926,0.74748,0.74959,0.98017,1.05617,1.2681,1.3987,1.28318,1.48321,1.48241,1.53012,1.54355
Japan,,2.0996,2.27637,2.22885,2.12964,2.39634,2.52728,2.30749,2.36572,2.64099,2.64703,2.73905,2.78234,2.6788,2.67702,2.86916,2.96238,2.99887,3.29324,3.11479,3.40025,3.93928,4.03727,4.1949,4.33714,4.76506,4.59643,4.63967,4.86293,4.76861,4.24857,4.82723,4.51308,4.72502
Kiribati,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",,1.11857,1.15677,1.21841,1.26965,1.30577,1.36271,1.34311,1.27932,1.63251,1.28589,1.2184,1.18028,1.01702,0.93363,0.86,0.79017,0.6906,0.6457,0.58253,0.65238,0.69916,0.72027,0.68631,0.70251,0.71853,0.75825,0.77779,0.63456,0.70823,0.68127,0.65466,0.67038,0.67412
"Korea, South",,0.53252,0.60294,0.62231,0.68458,0.80309,0.93058,1.0067,0.98479,1.02412,0.98242,0.96439,0.97414,0.86376,1.03872,1.09802,1.12686,1.13641,1.27161,1.47662,1.45542,1.57038,1.76875,1.87957,1.92005,2.02058,2.06794,2.10896,2.31278,2.6059,2.69359,3.0123,3.31321,3.25401
Laos,,0,0,0,0.00001,0.00001,0.00002,0.00005,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00065,0.00136,0.00257,0.00371,0.00529,0.0053,0.00435,0.00623,0.00576,0.00845,0.00853,0.00922,0.00996,0.01068,0.01128,0.01205,0.01237,0.01271
Macau,,0.00011,0.00003,0.00003,0.00003,0.00003,0,0,0,0,0,0.00006,0.00006,0.00006,0.00006,0.00006,0.00005,0.00006,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00004,0.00004,0.00003,0.00003,0.00004,0,0,0,0,0
Malaysia,,0.00205,0.00458,0.00344,0.00911,0.01003,0.01308,0.01051,0.01444,0.01474,0.04581,0.05542,0.05704,0.06426,0.04919,0.06548,0.06629,0.08989,0.06806,0.06915,0.06332,0.10686,0.1348,0.19135,0.18106,0.24662,0.23654,0.25177,0.32434,0.34194,0.37762,0.51723,0.55198,0.5501
Maldives,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,,0.05696,0.04903,0.05832,0.06132,0.06119,0.06873,0.07571,0.08104,0.08434,0.08095,0.07615,0.09886,0.08414,0.07467,0.06765,0.075,0.04984,0.04473,0.04406,0.04355,0.04538,0.04466,0.04746,0.04501,0.04567,0.0456,0.05327,0.05317,0.05267,0.05601,0.0607,0.05974,0.11333
Nauru,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,,0.00214,0.00111,0.00116,0.00119,0.00275,0.00218,0.00145,0.0023,0.00235,0.00214,0.00034,0.00182,0.0027,0.00158,0.00319,0.00343,0.00332,0.00337,0.00835,0.01047,0.01075,0.0123,0.0057,0.00727,0.00642,0.01032,0.00647,0.0082,0.00772,0.00805,0.00842,0.0121,0.0124
New Caledonia,,0.00272,0.00186,0.00147,0.0022,0.00233,0.00401,0.00396,0.00351,0.00385,0.00469,0.00372,0.00399,0.00388,0.00388,0.00376,0.00376,0.00452,0.0029,0.00307,0.00284,0.00651,0.00664,0.00707,0.00802,0.0072,0.00666,0.00725,0.00625,0.00684,0.00648,0.0077,0.00769,0.00769
New Zealand,,0.05685,0.05726,0.05565,0.0609,0.05966,0.05573,0.05343,0.04834,0.06056,0.05104,0.05347,0.0519,0.04501,0.0589,0.05758,0.05126,0.03314,0.05207,0.05385,0.06773,0.06333,0.0739,0.05993,0.10242,0.11277,0.12047,0.11096,0.09223,0.11243,0.08256,0.07208,0.08003,0.07761
Niue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,,0.04407,0.0442,0.05539,0.04912,0.05487,0.06216,0.06637,0.06751,0.07779,0.07713,0.08005,0.08464,0.08808,0.09602,0.09907,0.09214,0.09198,0.09149,0.07011,0.07547,0.07415,0.08138,0.0942,0.12811,0.15554,0.14801,0.17412,0.23007,0.18855,0.1802,0.16994,0.16559,0.13525
Papua New Guinea,,0,0,0,0,0,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,,0.01598,0.01789,0.02068,0.02928,0.04812,0.05753,0.04574,0.04831,0.06174,0.05049,0.05801,0.06409,0.06284,0.0785,0.07961,0.08275,0.10035,0.11022,0.09822,0.15218,0.20996,0.21977,0.20322,0.21264,0.22618,0.23591,0.24312,0.24573,0.28145,0.23421,0.30893,0.34075,0.37414
